Designator,Mid X,Mid Y,Rotation,Layer
LED101,293.725625,-159.60375,0.0,bottom
LED102,320.219375,-159.66625,0.0,bottom
LED103,339.269375,-159.66625,0.0,bottom
LED104,358.319375,-159.66625,0.0,bottom
LED105,382.131875,-159.66625,0.0,bottom
LED11,257.689375,-35.77875,0.0,bottom
LED12,276.739375,-35.77875,0.0,bottom
LED13,295.789375,-35.956875,0.0,bottom
LED14,29.406875,-54.82875,0.0,bottom
LED15,67.189375,-54.82875,0.0,bottom
LED16,86.239375,-54.85,0.0,bottom
LED17,105.289375,-54.82875,0.0,bottom
LED18,124.339375,-54.82875,0.0,bottom
LED19,152.914375,-54.82875,0.0,bottom
LED2,67.189375,-35.77875,0.0,bottom
LED20,171.964375,-54.82875,0.0,bottom
LED21,191.014375,-54.82875,0.0,bottom
LED22,210.064375,-54.82875,0.0,bottom
LED23,238.639375,-54.82875,0.0,bottom
LED24,257.689375,-54.82875,0.0,bottom
LED25,276.739375,-54.82875,0.0,bottom
LED26,295.789375,-54.82875,0.0,bottom
LED27,320.219375,-54.89125,0.0,bottom
LED28,339.269375,-54.89125,0.0,bottom
LED29,358.319375,-54.89125,0.0,bottom
LED3,86.239375,-35.77875,0.0,bottom
LED30,29.089375,-83.40375,0.0,bottom
LED31,48.139375,-83.40375,0.0,bottom
LED32,67.189375,-83.40375,0.0,bottom
LED33,86.239375,-83.40375,0.0,bottom
LED34,105.289375,-83.40375,0.0,bottom
LED35,124.339375,-83.40375,0.0,bottom
LED36,143.389375,-83.40375,0.0,bottom
LED37,162.439375,-83.40375,0.0,bottom
LED38,181.489375,-83.40375,0.0,bottom
LED39,200.539375,-83.40375,0.0,bottom
LED4,105.289375,-35.77875,0.0,bottom
LED40,219.589375,-83.40375,0.0,bottom
LED41,238.639375,-83.40375,0.0,bottom
LED42,257.689375,-83.40375,0.0,bottom
LED43,288.963125,-83.245,0.0,bottom
LED44,320.219375,-83.46625,0.0,bottom
LED45,339.269375,-83.46625,0.0,bottom
LED46,358.319375,-83.46625,0.0,bottom
LED47,382.131875,-83.46625,0.0,bottom
LED48,33.851875,-102.45375,0.0,bottom
LED49,57.664375,-102.45375,0.0,bottom
LED5,124.339375,-35.77875,0.0,bottom
LED50,76.714375,-102.45375,0.0,bottom
LED51,95.764375,-102.45375,0.0,bottom
LED52,114.814375,-102.45375,0.0,bottom
LED53,133.864375,-102.45375,0.0,bottom
LED54,152.914375,-102.45375,0.0,bottom
LED55,171.964375,-102.45375,0.0,bottom
LED56,191.014375,-102.45375,0.0,bottom
LED57,210.064375,-102.45375,0.0,bottom
LED58,229.114375,-102.45375,0.0,bottom
LED59,248.164375,-102.45375,0.0,bottom
LED6,152.914375,-35.956875,0.0,bottom
LED60,267.214375,-102.45375,0.0,bottom
LED61,291.344375,-102.45375,0.0,bottom
LED62,320.219375,-102.51625,0.0,bottom
LED63,339.336875,-102.51625,0.0,bottom
LED64,358.319375,-102.769375,0.0,bottom
LED65,382.131875,-102.51625,0.0,bottom
LED66,38.614375,-121.50375,0.0,bottom
LED67,62.426875,-121.50375,0.0,bottom
LED68,81.476875,-121.50375,0.0,bottom
LED69,100.526875,-121.50375,0.0,bottom
LED7,172.25,-35.85,0.0,bottom
LED70,119.576875,-121.50375,0.0,bottom
LED71,138.626875,-121.50375,0.0,bottom
LED72,157.676875,-121.50375,0.0,bottom
LED73,176.726875,-121.50375,0.0,bottom
LED74,195.776875,-121.50375,0.0,bottom
LED75,214.826875,-121.50375,0.0,bottom
LED76,233.876875,-121.50375,0.0,bottom
LED77,252.926875,-121.50375,0.0,bottom
LED78,284.200625,-121.50375,0.0,bottom
LED79,382.131875,-121.56625,0.0,bottom
LED8,191.014375,-35.77875,0.0,bottom
LED80,41.313125,-140.55375,0.0,bottom
LED81,71.951875,-140.55375,0.0,bottom
LED82,91.001875,-140.55375,0.0,bottom
LED83,110.051875,-140.55375,0.0,bottom
LED84,129.101875,-140.55375,0.0,bottom
LED85,148.151875,-140.55375,0.0,bottom
LED86,167.201875,-140.55375,0.0,bottom
LED87,186.251875,-140.55375,0.0,bottom
LED88,205.301875,-140.55375,0.0,bottom
LED89,224.351875,-140.55375,0.0,bottom
LED9,210.064375,-35.77875,0.0,bottom
LED90,243.401875,-140.55375,0.0,bottom
LED91,279.438125,-140.55375,0.0,bottom
LED92,339.269375,-140.61625,0.0,bottom
LED93,382.131875,-140.61625,0.0,bottom
LED94,32.66125,-159.60375,0.0,bottom
LED95,56.79125,-159.60375,0.0,bottom
LED96,80.28625,-159.60375,0.0,bottom
LED97,152.914375,-159.60375,0.0,bottom
LED98,225.5425,-159.60375,0.0,bottom
LED99,248.481875,-159.60375,0.0,bottom
R1,308.895625,-36.6625,270.0,bottom
R2,398.115625,-28.7925,90.0,top
R3,398.115625,-33.5425,90.0,top
R4,423.895625,-64.6625,270.0,top
S1,288.963125,-79.793075,0.0,top
S2,284.200625,-116.311925,180.0,top
S3,41.313125,-135.28255,180.0,top
S4,279.438125,-136.943075,0.0,top
S5,153.231875,-154.649925,180.0,top
SW1,29.406875,-31.456875,0.0,top
SW10,238.639375,-31.456875,0.0,top
SW100,271.10375,-155.281875,0.0,top
SW101,293.725625,-155.281875,0.0,top
SW102,320.219375,-155.344375,0.0,top
SW103,339.269375,-155.344375,0.0,top
SW104,358.319375,-155.344375,0.0,top
SW105,382.131875,-155.344375,0.0,top
SW11,257.689375,-31.456875,0.0,top
SW12,276.739375,-31.456875,0.0,top
SW13,295.789375,-31.456875,0.0,top
SW14,29.406875,-50.506875,0.0,top
SW15,67.189375,-50.506875,0.0,top
SW16,86.239375,-50.506875,0.0,top
SW17,105.289375,-50.506875,0.0,top
SW18,124.339375,-50.506875,0.0,top
SW19,152.914375,-50.506875,0.0,top
SW2,67.189375,-31.456875,0.0,top
SW20,171.964375,-50.506875,0.0,top
SW21,191.014375,-50.506875,0.0,top
SW22,210.064375,-50.506875,0.0,top
SW23,238.639375,-50.506875,0.0,top
SW24,257.689375,-50.506875,0.0,top
SW25,276.739375,-50.506875,0.0,top
SW26,295.789375,-50.506875,0.0,top
SW27,320.219375,-50.569375,0.0,top
SW28,339.269375,-50.569375,0.0,top
SW29,358.319375,-50.569375,0.0,top
SW3,86.239375,-31.456875,0.0,top
SW30,29.089375,-79.081875,0.0,top
SW31,48.139375,-79.081875,0.0,top
SW32,67.189375,-79.081875,0.0,top
SW33,86.239375,-79.081875,0.0,top
SW34,105.289375,-79.081875,0.0,top
SW35,124.339375,-79.081875,0.0,top
SW36,143.389375,-79.081875,0.0,top
SW37,162.439375,-79.081875,0.0,top
SW38,181.489375,-79.081875,0.0,top
SW39,200.539375,-79.081875,0.0,top
SW4,105.289375,-31.456875,0.0,top
SW40,219.589375,-79.081875,0.0,top
SW41,238.639375,-79.081875,0.0,top
SW42,257.689375,-79.081875,0.0,top
SW43,288.963125,-78.923125,0.0,top
SW44,320.219375,-79.144375,0.0,top
SW45,339.269375,-79.144375,0.0,top
SW46,358.319375,-79.144375,0.0,top
SW47,382.131875,-79.144375,0.0,top
SW48,33.851875,-98.131875,0.0,top
SW49,57.664375,-98.131875,0.0,top
SW5,124.339375,-31.456875,0.0,top
SW50,76.714375,-98.131875,0.0,top
SW51,95.764375,-98.131875,0.0,top
SW52,114.814375,-98.131875,0.0,top
SW53,133.864375,-98.131875,0.0,top
SW54,152.914375,-98.131875,0.0,top
SW55,171.964375,-98.131875,0.0,top
SW56,191.014375,-98.131875,0.0,top
SW57,210.064375,-98.131875,0.0,top
SW58,229.114375,-98.131875,0.0,top
SW59,248.164375,-98.131875,0.0,top
SW6,152.914375,-31.456875,0.0,top
SW60,267.214375,-98.131875,0.0,top
SW61,291.344375,-98.131875,0.0,top
SW62,320.219375,-98.194375,0.0,top
SW63,339.336875,-98.194375,0.0,top
SW64,358.319375,-98.194375,0.0,top
SW65,382.131875,-98.194375,0.0,top
SW66,38.614375,-117.181875,0.0,top
SW67,62.426875,-117.181875,0.0,top
SW68,81.476875,-117.181875,0.0,top
SW69,100.526875,-117.181875,0.0,top
SW7,171.964375,-31.456875,0.0,top
SW70,119.576875,-117.181875,0.0,top
SW71,138.626875,-117.181875,0.0,top
SW72,157.676875,-117.181875,0.0,top
SW73,176.726875,-117.181875,0.0,top
SW74,195.776875,-117.181875,0.0,top
SW75,214.826875,-117.181875,0.0,top
SW76,233.876875,-117.181875,0.0,top
SW77,252.926875,-117.181875,0.0,top
SW78,284.200625,-117.181875,0.0,top
SW79,382.131875,-117.244375,0.0,top
SW8,191.014375,-31.456875,0.0,top
SW80,41.313125,-136.231875,0.0,top
SW81,71.951875,-136.231875,0.0,top
SW82,91.001875,-136.231875,0.0,top
SW83,110.051875,-136.231875,0.0,top
SW84,129.101875,-136.231875,0.0,top
SW85,148.151875,-136.231875,0.0,top
SW86,167.201875,-136.231875,0.0,top
SW87,186.251875,-136.231875,0.0,top
SW88,205.301875,-136.231875,0.0,top
SW89,224.351875,-136.231875,0.0,top
SW9,210.064375,-31.456875,0.0,top
SW90,243.401875,-136.231875,0.0,top
SW91,279.438125,-136.231875,0.0,top
SW92,339.269375,-136.294375,0.0,top
SW93,382.131875,-136.294375,0.0,top
SW94,32.66125,-155.281875,0.0,top
SW95,56.79125,-155.281875,0.0,top
SW96,80.28625,-155.281875,0.0,top
SW97,152.914375,-155.281875,0.0,top
SW98,225.5425,-155.281875,0.0,top
SW99,248.481875,-155.281875,0.0,top
U1,328.35,-30.65,90.0,top
U2,315.886875,-31.28125,270.0,bottom
